Timestamp;Y;Y;rol
30333000;-7.865027E-001;1.134581E+002;3.390438E+002
30344000;-7.873106E-001;1.133881E+002;3.469578E+002
30355000;-7.881659E-001;1.154892E+002;3.561325E+002
30367000;-7.890321E-001;1.147888E+002;3.636263E+002
30378000;-7.899271E-001;1.173101E+002;3.636263E+002
30390000;-7.907814E-001;1.135282E+002;3.620155E+002
30402000;-7.916512E-001;1.147888E+002;3.562726E+002
30414000;-7.925782E-001;1.112870E+002;3.472379E+002
30425000;-7.935192E-001;1.102365E+002;3.346315E+002
30437000;-7.944716E-001;1.102365E+002;3.247564E+002
30448000;-7.954263E-001;1.162596E+002;3.247564E+002
30460000;-7.963149E-001;1.233332E+002;3.230755E+002
30472000;-7.971536E-001;1.301267E+002;3.201341E+002
30484000;-7.979165E-001;1.376906E+002;3.122900E+002
30495000;-7.986017E-001;1.449043E+002;3.003839E+002
30506000;-7.991995E-001;1.470053E+002;2.915594E+002
30518000;-7.997205E-001;1.460949E+002;2.818244E+002
30529000;-8.002256E-001;1.452544E+002;2.736302E+002
30541000;-8.007072E-001;1.450443E+002;2.623545E+002
30553000;-8.011563E-001;1.412624E+002;2.476469E+002
30565000;-8.015866E-001;1.357296E+002;2.353206E+002
30577000;-8.020164E-001;1.338386E+002;2.350405E+002
30588000;-8.024388E-001;1.404920E+002;2.413437E+002
30600000;-8.028465E-001;1.470053E+002;2.405733E+002
30611000;-8.031586E-001;1.441339E+002;2.445653E+002
30623000;-8.034495E-001;1.388111E+002;2.489776E+002
30634000;-8.037702E-001;1.325079E+002;2.540902E+002
30645000;-8.041468E-001;1.283057E+002;2.588527E+002
30657000;-8.046196E-001;1.261346E+002;2.618642E+002
30669000;-8.051885E-001;1.270451E+002;2.645256E+002
30680000;-8.058239E-001;1.273253E+002;2.643855E+002
30691000;-8.065066E-001;1.270451E+002;2.577321E+002
30703000;-8.072034E-001;1.247339E+002;2.472967E+002
30714000;-8.078503E-001;1.202516E+002;2.414137E+002
30726000;-8.084430E-001;1.202516E+002;2.457559E+002
30738000;-8.090464E-001;1.213022E+002;2.465964E+002
30750000;-8.090464E-001;1.237534E+002;2.449855E+002
30761000;-8.097132E-001;1.300566E+002;2.419040E+002
30773000;-8.104905E-001;1.373404E+002;2.384022E+002
30784000;-8.113301E-001;1.446241E+002;2.326592E+002
30795000;-8.121268E-001;1.446241E+002;2.326592E+002
30807000;-8.128826E-001;1.413324E+002;2.197726E+002
30819000;-8.136224E-001;1.322278E+002;2.119986E+002
30830000;-8.143506E-001;1.259245E+002;2.082167E+002
30842000;-8.150930E-001;1.220726E+002;2.003026E+002
30854000;-8.158991E-001;1.220726E+002;1.986218E+002
